id,date,municipality,province,area_ha,lat,lon,p_fuego,prediction
256555,2025-02-19,Soba,Cantabria,420,43.1915054,-3.5623672,0.9929,1
278268,2025-08-09,Manzaneda,Ourense,418,42.3098629,-7.2350007,0.9933,1
275005,2025-07-19,Lubrín,Almería,406,37.216181,-2.0669673,0.9938,1
265006,2025-02-19,Vega de Pas,Cantabria,398,43.1585436,-3.7821043,0.9930,1
280108,2025-08-23,Campanario,Badajoz,394,38.8633863,-5.6180261,0.9933,1
278345,2025-08-12,Dozón,Pontevedra,377,42.5950221,-8.0473457,0.9915,1
278490,2025-08-13,Trujillo,Cáceres,369,39.4605657,-5.8816626,0.9926,1
278505,2025-08-15,Toques,A Coruña,368,42.9692524,-7.955717,0.9760,1
278332,2025-08-11,Tarifa,Cádiz,365,36.0129082,-5.6050213,0.9885,1
279192,2025-08-13,Cangas del Narcea,Asturias,363,43.1774374,-6.5499784,0.1557,0
278752,2025-08-19,Garrovillas de Alconétar,Cáceres,359,39.7131532,-6.5494403,0.9927,1
276718,2025-08-02,Ponteceso,A Coruña,345,43.2428181,-8.9005051,0.0092,0
279193,2025-08-17,Somiedo,Asturias,343,43.1028012,-6.2514557,0.9723,1
282164,2025-09-20,Villamanín,León,341,42.9832524,-5.6950756,0.9916,1
281140,2025-09-13,Polán,Toledo,339,39.7888594,-4.1667072,0.9927,1
276852,2025-08-05,Enériz / Eneritz,Navarra,329,42.6712536,-1.7280262,0.9867,1
275060,2025-07-16,Alcollarín,Cáceres,329,39.2455213,-5.7368176,0.9938,1
270822,2025-06-01,Don Benito,Badajoz,307,38.9540269,-5.8619466,0.9913,1
279218,2025-08-25,Avión,Ourense,302,42.3873019,-8.2655242,0.9937,1
259888,2025-03-06,Vega de Pas,Cantabria,302,43.1585436,-3.7821043,0.0014,0
276895,2025-07-30,Cañiza, A,Pontevedra,301,42.2158506,-8.2790051,0.9896,1
266424,2025-03-31,Pedralba de la Pradería,Zamora,288,42.0245478,-6.6938232,0.9916,1
272528,2025-06-21,Zalamea la Real,Huelva,285,37.6793659,-6.6605705,0.9927,1
278853,2025-08-15,Payo, El,Salamanca,280,40.2927565,-6.7528086,0.9912,1
277326,2025-08-06,Guijo de Galisteo,Cáceres,278,40.0933514,-6.4102612,0.9863,1
277451,2025-08-05,Tarifa,Cádiz,277,36.0129082,-5.6050213,0.9881,1
273510,2025-07-03,Tarifa,Cádiz,273,36.0129082,-5.6050213,0.9873,1
281893,2025-09-21,Valverde de la Vera,Cáceres,272,40.1224856,-5.4943029,0.9919,1
256558,2025-02-18,Soba,Cantabria,270,43.1915054,-3.5623672,0.9931,1
281598,2025-09-21,Garganta la Olla,Cáceres,269,40.1112342,-5.7762332,0.9931,1
277684,2025-08-09,Aranjuez,Madrid,263,40.0322289,-3.6040097,0.9535,1
279357,2025-08-13,Jerez de la Frontera,Cádiz,240,36.6816936,-6.1377402,0.9763,1
278508,2025-08-25,Samos,Lugo,239,42.730661,-7.3265903,0.9925,1
278509,2025-08-13,Caso,Asturias,235,43.1747943,-5.3270258,0.0022,0
282183,2025-09-19,Bolo, O,Ourense,233,42.3078799,-7.095033,0.9927,1
271661,2025-06-16,Chinchilla de Monte-Aragón,Albacete,223,None,None,-1.0000,0
274979,2025-07-03,Carolina, La,Jaén,215,37.7582467,-3.7953281,0.9900,1
251744,2025-01-19,San Roque de Riomiera,Cantabria,207,43.2191046,-3.7200789,0.9899,1
